epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.2923,1.60161,0.5365,0.97478,1.21861,0.000302325,0.000302325,0.000302325
2,91.3995,1.23451,0.59055,0.98384,1.09046,0.000575362,0.000575362,0.000575362
3,134.532,1.14684,0.59014,0.98663,1.09921,0.000818401,0.000818401,0.000818401
4,178.09,1.09998,0.62148,0.98663,1.00443,0.000774013,0.000774013,0.000774013
5,221.385,1.04795,0.63444,0.98844,0.97639,0.000729018,0.000729018,0.000729018
6,264.023,1.0122,0.64405,0.98885,0.94578,0.000684022,0.000684022,0.000684022
7,306.614,0.98423,0.64168,0.98941,0.95522,0.000639027,0.000639027,0.000639027
8,349.095,0.95518,0.64781,0.99122,0.9306,0.000594031,0.000594031,0.000594031
9,392.593,0.9375,0.65157,0.99011,0.93319,0.000549036,0.000549036,0.000549036
10,435.088,0.90661,0.66383,0.98872,0.91117,0.00050404,0.00050404,0.00050404
11,531.738,0.88564,0.67024,0.99289,0.89997,0.000459045,0.000459045,0.000459045
12,574.52,0.86272,0.67317,0.99248,0.90102,0.000414049,0.000414049,0.000414049
13,616.794,0.84841,0.68208,0.99164,0.89525,0.000369054,0.000369054,0.000369054
14,659.251,0.82059,0.67986,0.99178,0.88287,0.000324058,0.000324058,0.000324058
15,699.864,0.80146,0.68292,0.99373,0.88121,0.000279063,0.000279063,0.000279063
16,740.955,0.78339,0.6878,0.9915,0.85732,0.000234068,0.000234068,0.000234068
17,783.075,0.75716,0.68334,0.99192,0.87425,0.000189072,0.000189072,0.000189072
18,825.597,0.74048,0.6864,0.99178,0.87953,0.000144077,0.000144077,0.000144077
19,867.651,0.72455,0.68515,0.99192,0.87158,9.9081e-05,9.9081e-05,9.9081e-05
20,910.066,0.70798,0.68989,0.99108,0.87435,5.40855e-05,5.40855e-05,5.40855e-05
